Bid Number,School,Debater 1,Debater 2,Year
1,Georgetown,Stewart Jay,Brad Ziff,1973
2,Northwestern,Ron Marmer,Elliott Minceberg,1973
3,Georgetown,Thomas Devine,Jeffreyt Ruch,1973
4,UCLA,Frank Kimball,Royal Oakes,1973
5,George Washington,Steve Johnson,Mary Alyce McKeen,1973
6,Kansas,William Hensley,William Russell,1973
7,Redlands,Greg Amundson,Josh Cates,1973
8,North Carolina,Campbell,Dillard,1973
9,Harvard,Charles Garvin,Peter O'Connell,1973
10,West Georgia,Barry Banther,Elliott Pood,1973
11,USC,Tom Hozduk,Steve Swander,1973
12,George Washington,Mike Bott,Jerry Ledford,1973
13,Houston,Linda Listrom,OIivier,1973
14,Dartmouth,Robert Branham,Tom Foley,1973
15,UC Santa Barbara,Mike Clough,Mike Comyns,1973
16,Pittsburgh,James Kearney,John Strand,1973
,,,,
1,Harvard,Charles Garvin,Greg Rosenbaum,1974
2,Kansas,Joel Goldman,William Webster,1974
3,USC,Michael Higelin,Tom Hozduk,1974
4,Houston,Marvin Isgur,Linda Listrom,1974
5,North Carolina,Cole Campbell,Tom Dillard,1974
6,University of Kentucky,Jim Flegle,Ben Jones,1974
7,Northwestern,Paul Clote,Erwin Chemerinsky,1974
8,Augustana IL,Bob Feldhake,Rick Godfrey,1974
9,Pittsburgh,David Schiller,Ken Simon,1974
10,Baylor,Jay Hurst,Jerry Powell,1974
11,USC,Glenn Johnson,Larry Solum,1974
12,Canisiu College,Mary Grace Diehl,Lynne Monaco,1974
13,Georgetown,Brad Ziff,Tom Rollins,1974
14,Northwestern,Rick Horrow,Alan Loewinsohn,1974
15,Wyoming,Dennis Burma,David Dow,1974
16,Eastern Illinois,Rory McGintry,Mike Heath,1974
,,,,
1,Georgetown,Tom Rollins,Brad Ziff,1975
2,Redlands,Konrad Clark,Pat Webb,1975
3,MIT,Jack Segal,Larry Summers,1975
4,Northwestern,Erwin Chemerinsky,Alan Loewinsohn,1975
5,Redlands,Greg Ballard,Bill Smelko,1975
6,USC,Jack Martin,Larry Solum,1975
7,Augustana IL,Bob Feldhake,Rick Godfrey,1975
8,Baylor,Jay Hurst,David Kent,1975
9,Wyoming,Dennis Dow,Doug Reeves,1975
